iter	RMSE
0	28.40930236
1	27.63330453
2	27.24712218
3	26.80492904
4	26.27031778
5	25.8162265
6	25.30356526
7	24.70913768
8	24.28004065
9	23.77883479
10	23.52658345
11	23.00960409
12	22.60540637
13	22.30150452
14	21.96213162
15	21.56822161
16	21.42193985
17	21.08954461
18	20.88805761
19	20.48878033
20	20.09029166
21	19.78629185
22	19.56048415
23	19.34039861
24	19.23951724
25	19.05717369
26	18.89071199
27	18.65540152
28	18.44750713
29	18.28280271
30	18.15150297
31	18.03249192
32	17.86539555
33	17.63085121
34	17.46099412
35	17.2886325
36	17.1420064
37	16.94631761
38	16.81909265
39	16.73468333
40	16.55115032
41	16.39104534
42	16.1456364
43	16.01141366
44	15.8767342
45	15.73073035
46	15.5633566
47	15.48051902
48	15.34302704
49	15.15894951
50	15.08799281
51	14.96382894
52	14.82678465
53	14.63694674
54	14.57452726
55	14.51272103
56	14.41861154
57	14.3350101
58	14.14916977
59	13.99254676
60	13.9000777
61	13.84663465
62	13.78012525
63	13.67273138
64	13.6151953
65	13.5163295
66	13.40052974
67	13.33380047
68	13.25362795
69	13.13394556
70	13.04512977
71	12.95994373
72	12.86865391
73	12.79189268
74	12.67842238
75	12.62006854
76	12.48050332
77	12.38448087
78	12.3144793
79	12.25681616
80	12.2024941
81	12.14664114
82	12.08719921
83	11.96145609
84	11.90543604
85	11.84734754
86	11.75136423
87	11.67584955
88	11.56267105
89	11.5109911
90	11.36482558
91	11.27425328
92	11.23384568
93	11.11059085
94	11.05773978
95	10.95082636
96	10.88957041
97	10.8338564
98	10.78075071
99	10.71448984
100	10.6564807
101	10.60478863
102	10.50041472
103	10.44035162
104	10.39139171
105	10.27734771
106	10.21120274
107	10.16564326
108	10.11173555
109	10.04344537
110	9.984479769
111	9.951799079
112	9.902173428
113	9.82652986
114	9.785216026
115	9.723932574
116	9.666371973
117	9.636753743
118	9.588779773
119	9.563473142
120	9.536357078
121	9.472850813
122	9.418922523
123	9.382294318
124	9.332486581
125	9.269856328
126	9.225854958
127	9.192075471
128	9.151306115
129	9.106688475
130	9.073445129
131	9.035599869
132	9.004428189
133	8.979455968
134	8.947759637
135	8.918618875
136	8.780325673
137	8.756787739
138	8.730248119
139	8.681658796
140	8.640806428
141	8.618718944
142	8.597848664
143	8.561434006
144	8.537328468
145	8.517314829
146	8.478774101
147	8.441732003
148	8.411850076
149	8.376575772
150	8.359984377
151	8.344230801
152	8.308134451
153	8.229418703
154	8.156689103
155	8.127859369
156	8.112581759
157	8.085425167
158	8.017845967
159	7.984330659
160	7.952656484
161	7.917980957
162	7.882809245
163	7.83404037
164	7.801711069
165	7.710062844
166	7.655359888
167	7.631763583
168	7.605294258
169	7.580590917
170	7.551861925
171	7.466653846
172	7.449493297
173	7.43339627
174	7.421410643
175	7.407888379
